scientific_name_original,scientific_name_matched,common_name_en,iucn,at_way_canguk,at_way_titias,at_danau_ranau,habitat_tier,wcrs_text,wc_from_text_only,sources,birdnet_label,in_birdnet_v24
Ficedula solitaris,,Rufous-browed Flycatcher,,False,True,True,mid,False,False,gooddie2015,,False
Ficedula westermanni,Ficedula westermanni,Little Pied Flycatcher,,False,False,False,unknown,False,False,ebird_ID-SM-LA,Ficedula westermanni_Little Pied Flycatcher,True
Ficedula zanthopygia,Ficedula zanthopygia,Yellow-rumped Flycatcher,,True,False,False,lowland,False,False,gooddie2015;ebird_ID-SM-LA;ebird_Bengkunat,Ficedula zanthopygia_Yellow-rumped Flycatcher,True
Fregata andrewsi,Fregata andrewsi,Christmas Frigatebird,CR,False,False,False,unknown,False,False,gooddie2015;ebird_ID-SM-LA,Fregata andrewsi_Christmas Island Frigatebird,True
Fregata ariel,Fregata ariel,Lesser Frigatebird,,True,False,False,lowland,False,False,gooddie2015;ebird_ID-SM-LA,Fregata ariel_Lesser Frigatebird,True
Fregata minor,Fregata minor,Great Frigatebird,,False,False,False,unknown,False,False,ebird_ID-SM-LA,Fregata minor_Great Frigatebird,True
Gallicrex cinerea,Gallicrex cinerea,Watercock,,False,False,False,unknown,False,False,ebird_ID-SM-LA,Gallicrex cinerea_Watercock,True
Gallinula chloropus,Gallinula chloropus,Eurasian Moorhen,,False,False,False,unknown,False,False,ebird_ID-SM-LA,Gallinula chloropus_Eurasian Moorhen,True
Gallus gallus,Gallus gallus,Red Junglefowl,,True,False,False,lowland,False,False,gooddie2015;ebird_ID-SM-LA;ebird_Belimbing;ebird_ForestTrail;ebird_DanauMenjukut,Gallus gallus_Red Junglefowl,True
Garrulax bicolor,,Sumatran Laughingthrush,VU,False,False,True,montane,False,False,gooddie2015;ebird_ID-SM-LA,,False
Garrulax lugubris,,Black Laughingthrush,,False,False,True,montane,False,False,gooddie2015,,False
Garrulax mitratus,Pterorhinus mitratus,Chestnut-capped Laughingthrush,,False,True,True,mid,False,False,gooddie2015,Pterorhinus mitratus_Chestnut-capped Laughingthrush,True
Garrulax palliatus,Garrulax palliatus,Sunda Laughingthrush,,False,False,True,montane,False,False,gooddie2015;ebird_ID-SM-LA,Garrulax palliatus_Sunda Laughingthrush,True
Gecinulus rafflesii,,Olive-backed Woodpecker,,False,False,False,unknown,False,False,ebird_ID-SM-LA,,False
Gelochelidon nilotica,Gelochelidon nilotica,Gull-billed Tern,,False,False,False,unknown,False,False,ebird_ID-SM-LA,Gelochelidon nilotica_Gull-billed Tern,True
Geokichla sibirica,Geokichla sibirica,Siberian Thrush,,False,False,False,unknown,False,False,ebird_ID-SM-LA;ebird_hotspot_L7940372,Geokichla sibirica_Siberian Thrush,True
Geopelia striata,Geopelia striata,Zebra Dove,,True,False,False,lowland,False,False,gooddie2015;ebird_ID-SM-LA;ebird_Belimbing;ebird_ForestTrail;ebird_hotspot_L7940372,Geopelia striata_Zebra Dove,True
Gerygone sulphurea,Gerygone sulphurea,Golden-bellied Gerygone,,False,True,False,mid,False,False,gooddie2015;ebird_ID-SM-LA,Gerygone sulphurea_Golden-bellied Gerygone,True
Glareola maldivarum,Glareola maldivarum,Oriental Pratincole,,False,False,False,unknown,False,False,ebird_ID-SM-LA,Glareola maldivarum_Oriental Pratincole,True
Glaucidium brodiei,,Collared Owlet,,False,True,True,mid,False,False,gooddie2015,,False
Gorsachius melanolophus,Gorsachius melanolophus,Malay Night Heron,,True,False,False,lowland,False,False,gooddie2015;ebird_ID-SM-LA;ebird_ForestTrail,Gorsachius melanolophus_Malayan Night-Heron,True
Gracula religiosa,Gracula religiosa,Hill Myna,,True,False,False,lowland,True,False,gooddie2015;andriyani2022;ebird_ID-SM-LA,Gracula religiosa_Common Hill Myna,True
Gracupica contra,Gracupica contra,Asian Pied Starling,,True,False,False,lowland,False,False,gooddie2015,Gracupica contra_Asian Pied Starling,True
Gracupica jalla,,Javan Pied Starling,,False,False,False,unknown,False,False,ebird_ID-SM-LA,,False
Gypsophila rufipectus,Gypsophila rufipectus,Rusty-breasted Wren-Babbler,,False,False,False,unknown,False,False,ebird_ID-SM-LA;ebird_hotspot_L7940372,Gypsophila rufipectus_Rusty-breasted Wren-Babbler,True
Halcyon coromanda,Halcyon coromanda,Ruddy Kingfisher,,True,False,False,lowland,False,False,gooddie2015;ebird_ID-SM-LA,Halcyon coromanda_Ruddy Kingfisher,True
Halcyon cyanoventris,,Javan Kingfisher,,False,False,False,unknown,False,False,ebird_ID-SM-LA,,False
Halcyon pileata,Halcyon pileata,Black-capped Kingfisher,,True,False,False,lowland,False,False,gooddie2015,Halcyon pileata_Black-capped Kingfisher,True
Halcyon smyrnensis,Halcyon smyrnensis,White-breasted Kingfisher,,True,True,True,lowland,False,False,gooddie2015;ebird_ID-SM-LA;ebird_Belimbing;ebird_Bengkunat;ebird_ForestTrail;ebird_hotspot_L7940372,Halcyon smyrnensis_White-throated Kingfisher,True
Haliaeetus leucogaster,Haliaeetus leucogaster,White-bellied Sea Eagle,,True,True,False,lowland,False,False,gooddie2015,Haliaeetus leucogaster_White-bellied Sea-Eagle,True
Haliastur indus,Haliastur indus,Brahminy Kite,,False,False,True,montane,False,False,gooddie2015;ebird_ID-SM-LA;ebird_ForestTrail;ebird_hotspot_L7940372,Haliastur indus_Brahminy Kite,True
Handbook of,,"Elliott & J. Sargatal, eds.",,False,False,False,unknown,False,False,gooddie2015,,False
Harpactes diardii,Harpactes diardii,Diard’s Trogon,NT,True,False,False,lowland,True,False,gooddie2015;brickle_wcrs;ebird_ID-SM-LA;ebird_Belimbing;ebird_Bengkunat;ebird_ForestTrail,Harpactes diardii_Diard's Trogon,True
Harpactes duvaucelii,Harpactes duvaucelii,Scarlet-rumped Trogon,NT,True,False,False,lowland,True,False,gooddie2015;brickle_wcrs;ebird_ID-SM-LA;ebird_Bengkunat;ebird_ForestTrail,Harpactes duvaucelii_Scarlet-rumped Trogon,True
Harpactes erythrocephalus,Harpactes erythrocephalus,Red-headed Trogon,,False,False,True,montane,False,False,gooddie2015;ebird_ID-SM-LA,Harpactes erythrocephalus_Red-headed Trogon,True
Harpactes kasumba,Harpactes kasumba,Red-naped Trogon,NT,True,True,False,lowland,False,False,gooddie2015;ebird_ID-SM-LA,Harpactes kasumba_Red-naped Trogon,True
Harpactes oreskios,Harpactes oreskios,Orange-breasted Trogon,,False,True,False,mid,False,False,gooddie2015;ebird_ID-SM-LA,Harpactes oreskios_Orange-breasted Trogon,True
Harpactes orrhophaeus,Harpactes orrhophaeus,Cinnamon-rumped Trogon,NT,True,True,False,lowland,False,False,gooddie2015;ebird_ID-SM-LA;ebird_ForestTrail,Harpactes orrhophaeus_Cinnamon-rumped Trogon,True
Helopsaltes certhiola,Helopsaltes certhiola,Pallas's Grasshopper Warbler,,False,False,False,unknown,False,False,ebird_ID-SM-LA,Helopsaltes certhiola_Pallas's Grasshopper Warbler,True
Hemicircus concretus,Hemicircus concretus,Gray-and-buff Woodpecker,,False,False,False,unknown,False,False,ebird_ID-SM-LA;ebird_Belimbing;ebird_ForestTrail,Hemicircus concretus_Gray-and-buff Woodpecker,True
Hemicircus sordidus,Hemicircus concretus,Grey-and-buff Woodpecker,,True,True,False,lowland,False,False,gooddie2015,Hemicircus concretus_Gray-and-buff Woodpecker,True
Hemiprocne comata,Hemiprocne comata,Whiskered Treeswift,,True,True,False,lowland,False,False,gooddie2015;ebird_ID-SM-LA;ebird_Bengkunat;ebird_ForestTrail;ebird_hotspot_L7940372,Hemiprocne comata_Whiskered Treeswift,True
Hemiprocne longipennis,Hemiprocne longipennis,Grey-rumped Treeswift,,True,True,False,lowland,False,False,gooddie2015;ebird_ID-SM-LA;ebird_Belimbing;ebird_Bengkunat;ebird_ForestTrail,Hemiprocne longipennis_Gray-rumped Treeswift,True
Hemipus hirundinaceus,Hemipus hirundinaceus,Black-winged Flycatcher-shrike,,True,False,False,lowland,False,False,gooddie2015;ebird_ID-SM-LA;ebird_Belimbing;ebird_Bengkunat;ebird_ForestTrail,Hemipus hirundinaceus_Black-winged Flycatcher-shrike,True
Hemipus picatus,Hemipus picatus,Bar-winged Flycatcher-shrike,,False,True,True,mid,False,False,gooddie2015;ebird_ID-SM-LA,Hemipus picatus_Bar-winged Flycatcher-shrike,True
Hemixos cinereus,Hemixos cinereus,Cinereous Bulbul,,False,False,False,unknown,False,False,ebird_ID-SM-LA;ebird_ForestTrail,Hemixos cinereus_Cinereous Bulbul,True
Hemixos flavala,Hemixos flavala,Ashy Bulbul,,True,True,True,lowland,False,False,gooddie2015,Hemixos flavala_Ashy Bulbul,True
Heterophasia picaoides,Heterophasia picaoides,Long-tailed Sibia,,False,False,True,montane,False,False,gooddie2015;ebird_ID-SM-LA,Heterophasia picaoides_Long-tailed Sibia,True
Hierococcyx bocki,Hierococcyx bocki,Dark Hawk-Cuckoo,,False,False,False,unknown,False,False,ebird_ID-SM-LA,Hierococcyx bocki_Dark Hawk-Cuckoo,True
Hierococcyx fugax,Hierococcyx fugax,Malay Hawk Cuckoo,,True,False,False,lowland,False,False,gooddie2015;ebird_ID-SM-LA,Hierococcyx fugax_Malaysian Hawk-Cuckoo,True
Hierococcyx sparverioides,Hierococcyx sparverioides,Large Hawk-Cuckoo,,False,False,False,unknown,False,False,ebird_ID-SM-LA;ebird_Bengkunat,Hierococcyx sparverioides_Large Hawk-Cuckoo,True
Hierococcyx sparveroides,Hierococcyx sparverioides,Large Hawk Cuckoo,,True,True,True,lowland,False,False,gooddie2015,Hierococcyx sparverioides_Large Hawk-Cuckoo,True
Hierococcyx vagans,Hierococcyx vagans,Moustached Hawk Cuckoo,NT,False,True,False,mid,False,False,gooddie2015;ebird_ID-SM-LA,Hierococcyx vagans_Moustached Hawk-Cuckoo,True
Himantopus himantopus,Himantopus himantopus,Black-winged Stilt,,False,False,False,unknown,False,False,ebird_ID-SM-LA,Himantopus himantopus_Black-winged Stilt,True
Himantopus leucocephalus,Himantopus leucocephalus,Pied Stilt,,False,False,False,unknown,False,False,ebird_ID-SM-LA,Himantopus leucocephalus_Pied Stilt,True
Hirundapus caudacutus,Hirundapus caudacutus,White-throated Needletail,,False,False,False,unknown,False,False,ebird_ID-SM-LA,Hirundapus caudacutus_White-throated Needletail,True
Hirundapus cochinchinensis,,Silver-backed Needletail,,True,False,False,lowland,False,False,gooddie2015;ebird_ID-SM-LA,,False
Hirundapus giganteus,Hirundapus giganteus,Brown-backed Needletail,,False,False,False,unknown,False,False,ebird_ID-SM-LA;ebird_hotspot_L7940372,Hirundapus giganteus_Brown-backed Needletail,True
Hirundo javanica,,Pacific Swallow,,False,False,False,unknown,False,False,ebird_ID-SM-LA;ebird_Belimbing;ebird_ForestTrail;ebird_DanauMenjukut,,False
Hirundo rustica,Hirundo rustica,Barn Swallow,,False,False,True,montane,False,False,gooddie2015;ebird_ID-SM-LA;ebird_ForestTrail;ebird_hotspot_L7940372,Hirundo rustica_Barn Swallow,True
Hirundo tahitica,Hirundo tahitica,Pacific Swallow,,True,True,True,lowland,False,False,gooddie2015,Hirundo tahitica_Pacific Swallow,True
Hutchinson and,,"field. I am indebted to James Eaton, Rob",,False,False,False,unknown,False,False,gooddie2015,,False
Hydrobates monorhis,Hydrobates monorhis,Swinhoe's Storm-Petrel,,False,False,False,unknown,False,False,ebird_ID-SM-LA,Hydrobates monorhis_Swinhoe's Storm-Petrel,True
Hydrochous gigas,,Waterfall Swift,,False,False,False,unknown,False,False,ebird_ID-SM-LA,,False
Hydrornis caeruleus,Hydrornis caeruleus,Giant Pitta,,False,False,False,unknown,False,False,ebird_ID-SM-LA;ebird_Bengkunat;ebird_ForestTrail,Hydrornis caeruleus_Giant Pitta,True
Hydrornis irena,Hydrornis irena,Malayan Banded-Pitta,,False,False,False,unknown,False,False,ebird_ID-SM-LA;ebird_Belimbing;ebird_Bengkunat;ebird_ForestTrail,Hydrornis irena_Malayan Banded-Pitta,True
Hydrornis schneideri,,Schneider's Pitta,,False,False,False,unknown,False,False,ebird_ID-SM-LA,,False
Hypogramma hypogrammicum,Kurochkinegramma hypogrammicum,Purple-naped Sunbird,,True,True,False,lowland,False,False,gooddie2015,Kurochkinegramma hypogrammicum_Purple-naped Spiderhunter,True
Hypothymis azurea,Hypothymis azurea,Black-naped Monarch,,True,True,False,lowland,False,False,gooddie2015;ebird_ID-SM-LA;ebird_Bengkunat;ebird_ForestTrail,Hypothymis azurea_Black-naped Monarch,True
Icthyophaga humilis,Haliaeetus humilis,Lesser Fish Eagle,NT,True,False,False,lowland,True,False,gooddie2015;brickle_wcrs;ebird_ID-SM-LA,Haliaeetus humilis_Lesser Fish-Eagle,True
Icthyophaga ichthyaetus,Haliaeetus ichthyaetus,Grey-headed Fish Eagle,NT,True,False,False,lowland,True,False,gooddie2015;brickle_wcrs;ebird_ID-SM-LA;ebird_Belimbing;ebird_Bengkunat;ebird_ForestTrail,Haliaeetus ichthyaetus_Gray-headed Fish-Eagle,True
Icthyophaga leucogaster,,White-bellied Sea-Eagle,,False,False,False,unknown,False,False,ebird_ID-SM-LA;ebird_Belimbing;ebird_ForestTrail,,False
Ictinaetus malaiensis,Ictinaetus malaiensis,Black Eagle,,True,True,True,lowland,False,False,gooddie2015;ebird_ID-SM-LA;ebird_ForestTrail,Ictinaetus malaiensis_Black Eagle,True
Indicator archipelagicus,,Malaysian Honeyguide,NT,True,False,False,lowland,True,False,gooddie2015;brickle_wcrs;ebird_ID-SM-LA;ebird_Bengkunat,,False
International illustrated,,"del Hoyo, J. & Collar, N. J. (2014) The HBW and BirdLife",,False,False,False,unknown,False,False,gooddie2015,,False
International van,,BirdLife International (2001) Threatened birds of Asia: the BirdLife,,False,False,False,unknown,False,False,gooddie2015,,False
Iole crypta,Iole crypta,Buff-vented Bulbul,,False,False,False,unknown,False,False,ebird_ID-SM-LA;ebird_ForestTrail,Iole crypta_Buff-vented Bulbul,True
Iole finschii,,Finsch's Bulbul,,False,False,False,unknown,False,False,ebird_ID-SM-LA,,False
Iole olivacea,Iole crypta,Buff-vented Bulbul,NT,True,True,False,lowland,False,False,gooddie2015,Iole crypta_Buff-vented Bulbul,True
Irena puella,Irena puella,Asian Fairy Bluebird,,True,False,False,lowland,False,False,gooddie2015;ebird_ID-SM-LA,Irena puella_Asian Fairy-bluebird,True
Ixobrychus cinnamomeus,Ixobrychus cinnamomeus,Cinnamon Bittern,,True,False,False,lowland,False,False,gooddie2015,Ixobrychus cinnamomeus_Cinnamon Bittern,True
Ixobrychus eurhythmus,Ixobrychus eurhythmus,Schrenck’s Bittern,,True,False,False,lowland,False,False,gooddie2015,Ixobrychus eurhythmus_Schrenck's Bittern,True
Ixos leucogrammicus,,Cream-striped Bulbul,,False,False,False,unknown,False,False,ebird_ID-SM-LA,,False
Ixos malaccensis,Ixos malaccensis,Streaked Bulbul,NT,True,True,False,lowland,True,False,gooddie2015;brickle_wcrs;ebird_ID-SM-LA;ebird_Belimbing;ebird_ForestTrail,Ixos malaccensis_Streaked Bulbul,True
Ixos sumatranus,,Sumatran Bulbul,,False,False,False,unknown,False,False,ebird_ID-SM-LA;ebird_ForestTrail,,False
Ixos virescens,,Sunda Bulbul,,False,True,True,mid,False,False,gooddie2015,,False
Java and,,to be endemic to,,False,False,False,unknown,False,False,gooddie2015,,False
Kenopia striata,Kenopia striata,Striped Wren-Babbler,,False,False,False,unknown,False,False,ebird_ID-SM-LA,Kenopia striata_Striped Wren-Babbler,True
Ketupa ketupu,Ketupa ketupu,Buffy Fish Owl,,True,True,False,lowland,False,False,gooddie2015;ebird_ID-SM-LA,Ketupa ketupu_Buffy Fish-Owl,True
Ketupa sumatrana,,Barred Eagle-Owl,,False,False,False,unknown,False,False,ebird_ID-SM-LA;ebird_ForestTrail,,False
Kurochkinegramma hypogrammicum,Kurochkinegramma hypogrammicum,Purple-naped Spiderhunter,,False,False,False,unknown,False,False,ebird_ID-SM-LA;ebird_Bengkunat,Kurochkinegramma hypogrammicum_Purple-naped Spiderhunter,True
Lacedo pulchella,Lacedo pulchella,Banded Kingfisher,,True,False,True,lowland,False,False,gooddie2015;ebird_ID-SM-LA;ebird_Belimbing;ebird_Bengkunat;ebird_ForestTrail,Lacedo pulchella_Banded Kingfisher,True
Lalage fimbriata,Lalage fimbriata,Lesser Cuckooshrike,,False,False,False,unknown,False,False,ebird_ID-SM-LA;ebird_Bengkunat,Lalage fimbriata_Lesser Cuckooshrike,True
Lalage nigra,Lalage nigra,Pied Triller,,True,False,False,lowland,False,False,gooddie2015;ebird_ID-SM-LA,Lalage nigra_Pied Triller,True
Lanius cristatus,Lanius cristatus,Brown Shrike,,False,False,False,unknown,False,False,ebird_ID-SM-LA;ebird_Bengkunat,Lanius cristatus_Brown Shrike,True
Lanius schach,Lanius schach,Long-tailed Shrike,,False,True,True,mid,False,False,gooddie2015;ebird_ID-SM-LA,Lanius schach_Long-tailed Shrike,True
Lanius tigrinus,Lanius tigrinus,Tiger Shrike,,True,True,True,lowland,False,False,gooddie2015;ebird_ID-SM-LA;ebird_Belimbing;ebird_Bengkunat;ebird_ForestTrail;ebird_hotspot_L7940372,Lanius tigrinus_Tiger Shrike,True
Larvivora cyane,Larvivora cyane,Siberian Blue Robin,,False,False,False,unknown,False,False,ebird_ID-SM-LA,Larvivora cyane_Siberian Blue Robin,True
Leiothrix argentauris,Leiothrix argentauris,Silver-eared Mesia,,True,False,False,lowland,False,False,gooddie2015,Leiothrix argentauris_Silver-eared Mesia,True
Leptocoma brasiliana,Leptocoma brasiliana,Van Hasselt's Sunbird,,False,False,False,unknown,False,False,ebird_ID-SM-LA,Leptocoma brasiliana_Van Hasselt's Sunbird,True
Leptocoma calcostetha,Leptocoma calcostetha,Copper-throated Sunbird,,False,False,False,unknown,False,False,ebird_ID-SM-LA,Leptocoma calcostetha_Copper-throated Sunbird,True
Leptocoma sperata,Leptocoma sperata,Purple-throated Sunbird,,True,False,False,lowland,False,False,gooddie2015,Leptocoma sperata_Purple-throated Sunbird,True
Leptoptilos javanicus,,Lesser Adjutant,VU,False,False,False,unknown,False,False,gooddie2015;ebird_ID-SM-LA;ebird_Belimbing,,False
Leucoptilon concretum,,White-tailed Flycatcher,,False,False,False,unknown,False,False,ebird_ID-SM-LA,,False
Lewinia striata,Lewinia striata,Slaty-breasted Rail,,True,False,False,lowland,False,False,gooddie2015;ebird_ID-SM-LA,Lewinia striata_Slaty-breasted Rail,True
Limosa lapponica,Limosa lapponica,Bar-tailed Godwit,,False,False,False,unknown,False,False,ebird_ID-SM-LA,Limosa lapponica_Bar-tailed Godwit,True
Limosa limosa,Limosa limosa,Black-tailed Godwit,,False,False,False,unknown,False,False,ebird_ID-SM-LA;ebird_Belimbing,Limosa limosa_Black-tailed Godwit,True
Locustella lanceolata,Locustella lanceolata,Lanceolated Warbler,,True,False,False,lowland,False,False,gooddie2015,Locustella lanceolata_Lanceolated Warbler,True
Lonchura atricapilla,Lonchura atricapilla,Chestnut Munia,,True,False,False,lowland,False,False,gooddie2015;ebird_ID-SM-LA,Lonchura atricapilla_Chestnut Munia,True
Lonchura ferruginosa,,"Iqbal, M. (2011) First records of White-capped Munia",,False,True,False,mid,False,False,gooddie2015;ebird_ID-SM-LA,,False
Lonchura leucogastra,,White-bellied Munia,,False,True,True,mid,False,False,gooddie2015;ebird_ID-SM-LA,,False
Lonchura leucogastroides,Lonchura leucogastroides,Javan Munia,,True,True,True,lowland,False,False,gooddie2015;ebird_ID-SM-LA;ebird_Belimbing,Lonchura leucogastroides_Javan Munia,True
Lonchura maja,Lonchura maja,White-headed Munia,,False,True,True,mid,False,False,gooddie2015;ebird_ID-SM-LA;ebird_Belimbing;ebird_Bengkunat;ebird_ForestTrail,Lonchura maja_White-headed Munia,True
Lonchura punctulata,Lonchura punctulata,Scaly-breasted Munia,,False,True,True,mid,False,False,gooddie2015;ebird_ID-SM-LA;ebird_Belimbing;ebird_Bengkunat,Lonchura punctulata_Scaly-breasted Munia,True
Lonchura striata,Lonchura striata,White-rumped Munia,,False,True,False,mid,False,False,gooddie2015;ebird_ID-SM-LA,Lonchura striata_White-rumped Munia,True
Lophospiza trivirgata,,Crested Goshawk,,False,False,False,unknown,False,False,ebird_ID-SM-LA,,False
Lophotriorchis kienerii,Lophotriorchis kienerii,Rufous-bellied Eagle,,False,True,True,mid,False,False,gooddie2015;ebird_ID-SM-LA,Lophotriorchis kienerii_Rufous-bellied Eagle,True
Lophura inornata,,Salvadori’s Pheasant,NT,True,True,False,lowland,True,False,gooddie2015;brickle_wcrs;ebird_ID-SM-LA,,False
Lophura rufa,,Malay Crested Fireback,NT,False,False,False,unknown,False,False,gooddie2015;ebird_ID-SM-LA;ebird_ForestTrail,,False
